text,true_label,pred_label
<user> <user> well she ’ muslim so of course she hates the jews jew hatred is one of the defining feature of islam,hate,normal
<user> lol not me i don ’ t deal with bms not outside children ’ ss i leave that ghetto mess for everybody else 😂 😂 😂,offensive,normal
a pussy hoe could never is so ghetto and i hate hearing it,normal,offensive
even if you just have a loose collection of affiliated groups each group is gonna have leaders and inevitably leaders will emerge among the group of leaders who end up coordinating the groups this is just human nature debating human nature is retarded,normal,offensive
<user> <user> treat the immigrants as drug traffickers they will soon have a change of mind 👍,offensive,normal
people calling undocumented immigrants labor unskilled are dumb af ya ever built a house shit ain ’ t easy,normal,offensive
<user> puppy no i was alone i am not a nazi white supremacist or any other type of person i am <number> southern i support traditional values and all things with southern culture i support anything that saves confederate monuments and history,offensive,normal
space is gay and so are you,offensive,normal
dis lil white bitch got da poker 🤦 🏽 ‍ ♂️,normal,offensive
<user> not low class they enjoy to get fucked by muslims,hate,offensive
calling me a nigger on gab does not faze me i will be really impressed when someone on here calls me a mooncricket,normal,hate
imagine being so disconnected that youd think a dickies work shirt and some black pants are comparable to a fur suit imagine crying about optics while writing for a site that screams nigger in every title like a <number> year old on xbox love who d just found 4 chan,offensive,hate
the blur the retard,normal,offensive
easy to make generalized statements a stopped watch is right twice per day drug addicts can make intelligent statements from time to time even a mentally retarded person knows when to go to the bathroom,normal,offensive
no that can not be we all know that muslim knife attacks have nothing to fo with religion,offensive,hate
america is supposed to be home to free speech except there is one problem most of the platforms are privately owned by jews and the jews could not care less about your free speech wake up white people the jews control what you see and hear be vigilant,hate,offensive
<user> where in new york was this taken white supremist nazi radical evangelical bigoted pos road rage waiting to happen,offensive,normal
why is a nazi getting <number> million subs what the fuck what the fuck you guys pewdiepie,normal,offensive
even worse i have read comments defending this vid stating the message is anti violence against all stfu with that noise,offensive,normal
in the meantime jewish advocacy receives billions in funding from jews and that ok but when whites do it ooh better watch out it all a scam better not organise someone might kike you,normal,hate
suck out you faggot,offensive,hate
<user> they resisted it for <number> years along with the nubeans in the south of sudan that is a beautiful and remarkable history of resisting evil i gotta tell u u have to read genesis <number> <number> the story of ishmael and u will see arabs today perfectly described,offensive,normal
hillary clinton with dyke roomie back in the latter <number> still a rotten bitch today,hate,offensive
they do not tolerate mohajirs been crammed in the slums of karachi daily being told2go back2india there can be no nonmuslim refugees2pak bdesh every1 knows the same night mulla goons will dash in their homes lift up the women kill them law will ignore,normal,hate
<user> <user> if i am a faggot why would i be white knighting for a girl you need to fire your continuity department,offensive,normal
every job in the world exists solely to make a white woman life better,offensive,normal
<user> <user> lmfao girl its just ghetto and its always alot going on,offensive,normal
hope she remembered defending the mudslime that instigated the gang rape and murder karma is a bitch,offensive,hate
america always was a country for by and of genetic europeans a white man born in china is not a chinaman just as a mexican anchor baby born in america is not american,offensive,normal
<user> i fucking hate you yzm 😂,offensive,normal
backpedaling fails to point out exactly my comments and resumes to nonsensical aussie retarded babbles go choke on a cock you useless wrinkly aussie slag you are th descendants of the bottom feeders among limeys loll,hate,offensive
i go to public beaches and see beautiful young women it tiny swimsuits and yet somehow i have managed to never rape anyone that the difference between americans and islamists apparently,hate,normal
<user> there were also no mentions of the threats immigrants present to citizens screw israel,offensive,normal
dababy security explaining why he knocked out that dyke should not be as funny as it is,hate,normal
